EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,TrainingTimesLastYear,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,BusinessTravel,OverTime,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
14,41,Male,Single,4,Marketing,Research & Development,Research Scientist,4,4,4,4,4,4,0,2,10080,23,3,28,Travel_Frequently,Yes,4,1,1,1,2,3,Yes
15,20,Female,Divorced,3,Human Resources,Research & Development,Laboratory Technician,2,4,4,4,4,11,6,6,7887,19,1,11,Travel_Rarely,No,2,4,4,3,2,3,No
16,39,Male,Married,2,Human Resources,Sales,Human Resources,4,22,7,5,4,35,8,5,11884,12,2,22,Non-Travel,No,1,4,2,1,4,3,No
17,19,Male,Married,2,Medical,Research & Development,Research Director,5,21,17,2,5,30,5,3,14285,15,0,21,Travel_Rarely,No,1,2,2,4,3,4,No
18,41,Male,Married,1,Human Resources,Sales,Sales Representative,3,25,14,13,5,37,1,6,10579,21,3,27,Travel_Frequently,No,2,3,1,2,2,3,Yes
19,47,Male,Married,1,Technical Degree,Research & Development,Manufacturing Director,4,8,6,8,7,8,5,6,12099,12,0,18,Non-Travel,No,3,1,1,4,3,3,No
20,55,Male,Married,3,Human Resources,Research & Development,Sales Executive,1,25,8,1,12,25,8,5,5251,11,3,10,Travel_Rarely,Yes,1,1,3,3,1,3,Yes
21,19,Male,Married,3,Technical Degree,Human Resources,Research Director,2,14,5,14,3,14,2,1,5544,17,1,16,Travel_Rarely,No,4,1,4,3,3,3,Yes
22,38,Female,Married,5,Human Resources,Sales,Manufacturing Director,1,0,0,0,0,15,8,5,5356,14,3,8,Travel_Rarely,No,2,2,3,2,2,3,Yes
23,50,Female,Married,1,Medical,Sales,Laboratory Technician,4,2,2,2,2,12,7,1,12705,15,1,6,Travel_Rarely,No,1,1,3,1,1,4,Yes
24,29,Male,Married,5,Technical Degree,Human Resources,Human Resources,3,24,13,2,2,24,6,2,7527,14,2,19,Travel_Rarely,No,2,2,4,4,1,3,Yes
25,39,Male,Married,4,Life Sciences,Sales,Manufacturing Director,3,17,13,1,3,29,7,3,10737,16,0,13,Non-Travel,No,3,2,2,1,1,3,No
26,42,Female,Married,5,Technical Degree,Research & Development,Manufacturing Director,1,6,6,6,4,6,9,6,4931,21,0,15,Travel_Rarely,No,2,2,4,3,2,3,Yes
27,44,Female,Married,2,Medical,Research & Development,Human Resources,5,1,1,0,1,3,5,2,14414,12,1,13,Non-Travel,No,1,2,2,1,3,3,Yes
28,59,Male,Single,5,Other,Research & Development,Research Scientist,5,4,3,4,4,39,2,0,12008,18,2,1,Travel_Rarely,No,2,1,3,4,4,3,No
29,45,Male,Married,3,Technical Degree,Human Resources,Healthcare Representative,3,28,14,7,16,37,6,5,8241,14,1,21,Travel_Rarely,Yes,1,1,2,1,3,3,Yes
30,33,Male,Married,4,Human Resources,Human Resources,Manufacturing Director,1,29,14,0,5,29,3,2,3616,18,3,28,Travel_Rarely,No,1,4,2,3,2,3,No
31,32,Male,Married,2,Human Resources,Sales,Human Resources,1,9,9,9,9,9,9,2,4612,13,1,27,Travel_Rarely,No,1,1,2,4,2,3,Yes
32,20,Female,Married,5,Other,Research & Development,Healthcare Representative,1,29,13,14,15,29,4,6,6158,22,2,2,Travel_Rarely,No,4,3,4,1,1,3,No
33,54,Male,Married,4,Medical,Research & Development,Human Resources,4,4,0,4,4,38,7,1,11078,22,3,13,Travel_Rarely,No,3,3,2,1,3,3,No
34,24,Male,Married,4,Marketing,Research & Development,Human Resources,5,6,6,6,6,6,6,5,11099,21,0,2,Travel_Rarely,No,3,2,4,4,2,3,No
35,38,Male,Married,2,Human Resources,Sales,Research Scientist,5,14,9,5,11,35,6,1,13714,15,0,25,Travel_Rarely,No,2,2,1,3,2,3,Yes
36,26,Male,Single,5,Life Sciences,Research & Development,Human Resources,4,19,9,10,8,34,7,3,11851,22,0,11,Travel_Rarely,No,2,2,1,4,4,3,Yes
37,56,Female,Married,4,Medical,Human Resources,Laboratory Technician,2,7,1,7,7,23,9,2,6338,13,2,13,Non-Travel,No,1,4,3,3,3,3,No
38,35,Female,Married,4,Technical Degree,Human Resources,Manufacturing Director,4,30,7,11,11,38,2,5,9494,22,2,10,Travel_Rarely,No,3,2,3,1,1,3,Yes
39,21,Female,Married,1,Technical Degree,Research & Development,Sales Executive,1,11,0,2,11,35,2,2,6689,23,2,23,Travel_Rarely,No,2,4,4,4,1,3,No
40,42,Male,Single,4,Life Sciences,Sales,Sales Executive,4,19,0,13,5,19,1,3,11518,17,2,22,Travel_Frequently,Yes,2,2,2,3,1,3,Yes
41,31,Male,Single,1,Human Resources,Research & Development,Sales Executive,1,29,3,6,3,31,0,4,3741,13,2,15,Non-Travel,No,3,3,2,4,3,3,No
42,26,Female,Married,5,Medical,Research & Development,Human Resources,3,26,6,1,11,38,9,3,8538,22,3,29,Non-Travel,No,1,2,1,1,2,3,Yes
43,43,Male,Single,5,Life Sciences,Research & Development,Research Director,1,25,8,6,12,25,5,1,3733,18,1,1,Travel_Rarely,Yes,2,1,4,4,2,3,Yes
44,19,Male,Single,5,Human Resources,Research & Development,Healthcare Representative,5,25,15,1,12,25,5,1,12656,19,0,14,Travel_Rarely,No,1,2,2,1,4,3,Yes
45,37,Female,Single,3,Medical,Sales,Healthcare Representative,4,25,4,4,11,35,9,2,12743,23,2,10,Travel_Rarely,No,3,1,2,1,4,3,No
46,45,Female,Single,5,Technical Degree,Research & Development,Human Resources,1,25,1,6,2,34,7,1,4806,22,0,18,Travel_Rarely,No,3,1,4,1,2,3,Yes
47,24,Female,Single,4,Medical,Research & Development,Laboratory Technician,2,34,10,10,2,34,5,5,5997,12,2,11,Non-Travel,Yes,2,1,3,3,2,3,Yes
48,25,Female,Married,2,Other,Human Resources,Laboratory Technician,3,11,11,10,11,11,5,3,9378,13,0,7,Travel_Rarely,No,2,1,4,3,3,3,Yes
49,52,Male,Married,1,Marketing,Research & Development,Sales Representative,2,0,0,0,0,32,0,2,8265,22,1,15,Travel_Rarely,No,3,4,4,2,4,3,No
50,31,Male,Divorced,3,Medical,Research & Development,Human Resources,2,14,10,2,14,35,6,3,6753,23,0,3,Travel_Rarely,No,1,4,2,3,1,3,No
51,34,Female,Married,5,Marketing,Research & Development,Manager,2,0,0,0,0,13,6,3,8262,17,0,2,Travel_Rarely,No,1,2,1,2,1,4,Yes
52,53,Male,Married,5,Medical,Sales,Research Scientist,3,10,4,10,8,32,9,2,9299,15,2,22,Non-Travel,No,4,2,2,4,1,3,Yes
53,57,Female,Single,2,Marketing,Human Resources,Sales Executive,3,1,1,1,1,23,8,6,8761,20,3,8,Travel_Frequently,No,3,4,2,1,1,3,No
54,21,Female,Single,2,Other,Research & Development,Research Scientist,3,0,0,0,0,14,6,4,8024,17,3,8,Travel_Rarely,No,2,2,2,3,2,3,Yes
55,19,Male,Married,3,Technical Degree,Research & Development,Sales Executive,3,30,9,2,15,30,7,6,8482,12,0,11,Travel_Rarely,Yes,3,2,4,1,2,3,Yes
56,23,Female,Single,1,Human Resources,Research & Development,Human Resources,2,15,7,8,7,16,3,1,6668,24,3,16,Travel_Rarely,No,2,4,4,2,3,3,No
57,59,Male,Married,5,Marketing,Research & Development,Research Director,5,11,7,9,11,11,8,0,12113,24,1,2,Travel_Rarely,No,1,4,2,3,1,3,No
58,21,Male,Married,3,Other,Research & Development,Sales Representative,5,17,5,4,0,21,0,6,13565,14,1,22,Travel_Rarely,No,2,2,2,3,2,4,Yes
59,46,Male,Married,4,Marketing,Research & Development,Laboratory Technician,3,16,11,14,6,22,7,0,10554,11,3,28,Travel_Rarely,No,4,4,1,3,2,3,No
60,35,Male,Single,4,Technical Degree,Sales,Research Director,4,25,6,14,11,25,2,0,10779,15,3,5,Travel_Rarely,No,1,3,3,3,2,3,No
61,43,Female,Married,3,Marketing,Research & Development,Research Scientist,1,9,9,7,9,13,0,1,6716,18,1,7,Travel_Rarely,No,4,1,2,1,1,3,Yes
62,51,Male,Married,5,Other,Sales,Research Scientist,4,11,8,1,0,11,1,4,12187,11,3,20,Travel_Rarely,No,3,1,4,3,2,3,No
63,27,Female,Single,3,Other,Research & Development,Laboratory Technician,4,3,3,2,3,3,5,3,11120,17,3,28,Travel_Rarely,No,2,3,3,2,4,3,Yes
64,53,Female,Married,5,Life Sciences,Sales,Sales Representative,4,12,9,6,6,12,4,2,11203,17,2,13,Travel_Rarely,No,1,3,3,3,1,3,No
65,31,Female,Married,2,Technical Degree,Research & Development,Sales Executive,5,5,5,5,5,17,2,4,11722,17,2,2,Travel_Rarely,Yes,2,2,1,2,1,3,Yes
66,48,Female,Divorced,3,Life Sciences,Research & Development,Research Director,1,2,2,2,2,27,8,0,5116,11,3,26,Travel_Rarely,Yes,4,2,3,2,4,3,Yes
67,32,Male,Single,5,Technical Degree,Research & Development,Sales Representative,4,20,0,3,10,37,7,5,9470,22,3,3,Non-Travel,No,1,1,2,1,3,3,Yes
68,25,Male,Married,3,Marketing,Research & Development,Manufacturing Director,3,12,12,8,5,18,2,1,9539,21,2,9,Travel_Rarely,No,4,2,2,3,3,3,Yes
69,31,Female,Married,3,Other,Research & Development,Healthcare Representative,5,17,13,13,5,37,1,6,13347,13,2,10,Travel_Rarely,No,1,1,4,2,1,3,Yes
70,40,Female,Married,5,Life Sciences,Sales,Sales Executive,3,2,2,2,2,2,7,1,10215,21,3,24,Travel_Rarely,No,3,2,2,3,1,3,No
71,57,Male,Single,5,Marketing,Research & Development,Manufacturing Director,3,18,13,13,6,18,4,6,8734,12,2,13,Travel_Rarely,No,3,2,2,1,1,3,Yes
72,38,Female,Married,1,Other,Research & Development,Sales Executive,4,3,3,3,3,19,8,2,10229,15,1,25,Travel_Rarely,Yes,2,1,1,1,4,3,Yes
73,33,Male,Single,3,Technical Degree,Sales,Sales Executive,3,21,8,11,16,24,0,5,9965,12,0,21,Travel_Rarely,No,4,3,3,3,2,3,No
74,35,Female,Married,4,Other,Research & Development,Sales Executive,1,10,7,0,7,10,9,3,5760,23,1,13,Travel_Rarely,No,4,3,1,2,4,3,No
75,41,Male,Single,3,Marketing,Research & Development,Sales Representative,3,16,12,3,7,16,2,4,9798,24,2,5,Travel_Rarely,No,1,2,3,4,2,3,No
76,43,Female,Married,3,Life Sciences,Research & Development,Sales Representative,4,9,9,9,9,34,4,5,11454,15,1,23,Travel_Frequently,No,3,3,1,4,2,3,No
77,42,Female,Married,5,Life Sciences,Sales,Manufacturing Director,3,1,1,1,1,13,1,4,9986,15,0,7,Travel_Frequently,No,2,2,4,1,3,4,Yes
78,58,Male,Married,3,Other,Research & Development,Research Scientist,5,38,16,5,13,38,2,4,13627,14,2,17,Travel_Frequently,No,3,4,1,2,4,3,No
79,46,Female,Single,3,Marketing,Sales,Laboratory Technician,5,5,0,5,5,18,3,3,14754,21,1,28,Travel_Rarely,No,4,4,1,4,4,3,No
80,32,Female,Single,4,Medical,Sales,Research Director,5,2,2,2,0,2,3,3,12945,17,1,15,Travel_Rarely,No,2,4,4,2,1,3,No
81,18,Male,Married,5,Technical Degree,Human Resources,Research Director,2,16,5,5,0,33,8,6,8368,20,0,5,Travel_Rarely,No,3,3,2,3,4,3,No
82,42,Female,Married,3,Technical Degree,Research & Development,Manager,5,21,1,4,11,21,0,3,13629,16,2,24,Travel_Frequently,Yes,3,3,2,1,2,3,Yes
83,24,Male,Single,2,Marketing,Research & Development,Human Resources,5,22,15,2,10,37,8,2,13846,12,3,7,Non-Travel,No,1,1,4,3,2,3,Yes
84,26,Male,Married,1,Medical,Sales,Human Resources,2,26,4,1,0,26,8,1,5528,14,2,27,Travel_Rarely,No,1,3,4,3,4,3,No
85,41,Female,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,5,20,4,2,11,20,5,0,11136,23,0,2,Travel_Rarely,Yes,4,2,1,3,3,3,Yes
86,18,Female,Married,3,Human Resources,Research & Development,Sales Executive,4,9,9,8,9,30,0,3,11266,24,0,24,Travel_Rarely,Yes,3,1,4,2,3,3,Yes
87,25,Female,Married,2,Human Resources,Research & Development,Sales Executive,5,12,2,2,12,26,5,1,14894,21,0,18,Travel_Rarely,No,1,3,4,4,1,3,No
88,41,Female,Divorced,3,Marketing,Research & Development,Healthcare Representative,5,11,11,2,1,36,7,6,13565,17,0,10,Travel_Rarely,No,3,1,3,3,1,3,No
89,28,Female,Single,3,Medical,Sales,Research Scientist,2,1,1,0,1,1,4,3,8781,19,3,1,Travel_Rarely,Yes,2,3,3,1,2,3,Yes
90,34,Female,Married,5,Medical,Research & Development,Manager,4,3,3,1,3,8,4,0,10471,19,2,27,Travel_Frequently,No,3,2,2,2,4,3,No
91,25,Female,Divorced,5,Technical Degree,Research & Development,Sales Representative,3,18,14,10,7,18,0,5,9179,22,2,27,Travel_Rarely,No,3,4,4,4,2,3,No
92,52,Male,Single,5,Life Sciences,Sales,Sales Executive,1,23,15,11,1,35,0,3,5035,13,1,14,Travel_Rarely,No,4,4,1,3,2,3,No
93,52,Female,Married,2,Other,Sales,Manager,4,9,9,2,9,9,7,1,10386,11,3,27,Travel_Rarely,No,2,2,2,1,4,4,Yes
94,50,Male,Married,3,Medical,Sales,Research Director,3,38,11,1,14,39,4,6,8367,19,3,19,Travel_Rarely,Yes,2,1,2,3,2,3,Yes
95,22,Female,Married,1,Other,Sales,Healthcare Representative,4,4,4,4,4,38,7,6,10719,18,1,16,Travel_Rarely,No,1,4,2,4,2,3,No
96,59,Female,Married,4,Human Resources,Research & Development,Sales Representative,3,6,6,5,1,6,9,2,8041,17,1,19,Travel_Rarely,No,2,3,4,4,3,3,No
97,56,Male,Divorced,5,Other,Research & Development,Manager,3,3,1,3,3,3,1,6,10487,16,2,6,Travel_Rarely,No,4,3,4,3,1,3,No
98,58,Female,Married,5,Life Sciences,Sales,Manufacturing Director,4,14,2,0,9,14,3,5,10748,24,2,12,Travel_Rarely,No,1,1,1,3,3,3,No
99,45,Female,Single,3,Life Sciences,Sales,Sales Representative,2,7,7,5,7,11,9,6,5559,20,2,3,Travel_Rarely,No,3,1,1,2,1,3,No
100,24,Male,Divorced,3,Other,Research & Development,Human Resources,4,5,5,1,1,5,8,6,10564,17,3,7,Travel_Rarely,No,2,2,2,4,1,3,No
101,26,Female,Single,2,Marketing,Research & Development,Sales Representative,4,8,8,8,8,8,2,5,9927,21,3,24,Travel_Rarely,No,3,4,4,4,1,3,No
102,25,Female,Married,2,Medical,Research & Development,Healthcare Representative,3,26,9,14,10,34,5,5,10224,19,1,3,Travel_Rarely,No,1,1,1,3,3,4,Yes
103,29,Female,Married,5,Marketing,Research & Development,Sales Representative,1,0,0,0,0,7,6,0,5379,16,0,25,Travel_Rarely,Yes,2,4,3,1,4,3,Yes
104,51,Male,Married,3,Other,Research & Development,Laboratory Technician,3,6,6,2,6,6,2,1,8773,24,0,17,Non-Travel,No,1,4,3,3,2,3,No
105,50,Female,Married,1,Medical,Sales,Research Scientist,5,3,3,3,3,3,0,4,13366,24,0,15,Travel_Rarely,Yes,1,3,2,3,4,3,Yes
106,40,Female,Divorced,4,Technical Degree,Sales,Healthcare Representative,4,12,8,2,12,12,1,6,10800,20,0,19,Non-Travel,No,2,1,3,4,4,3,No
107,41,Female,Married,3,Marketing,Research & Development,Manufacturing Director,4,18,4,8,0,18,9,4,12270,13,0,28,Non-Travel,No,2,2,2,2,1,3,Yes
108,54,Female,Married,3,Marketing,Research & Development,Healthcare Representative,2,6,6,2,2,6,6,4,6549,23,2,19,Travel_Rarely,No,1,1,4,3,1,3,No
109,52,Male,Single,2,Other,Research & Development,Research Director,3,9,9,6,9,9,6,2,8811,24,1,23,Non-Travel,No,4,4,2,1,3,3,Yes
110,57,Male,Divorced,4,Human Resources,Research & Development,Manufacturing Director,2,24,0,11,9,24,0,3,5979,13,0,11,Travel_Rarely,No,2,3,2,1,3,3,No
111,39,Female,Divorced,5,Other,Research & Development,Human Resources,4,20,9,3,4,34,9,6,12081,14,0,27,Travel_Rarely,No,1,1,4,3,2,3,Yes
112,44,Female,Married,3,Marketing,Sales,Sales Representative,3,24,0,7,14,24,6,3,10210,20,0,21,Non-Travel,No,3,1,1,1,4,3,Yes
113,52,Male,Single,5,Medical,Research & Development,Sales Representative,3,12,6,12,12,28,9,3,7166,23,2,20,Travel_Rarely,No,3,1,1,1,4,3,Yes
114,18,Male,Single,3,Human Resources,Sales,Research Director,5,11,11,1,11,11,5,2,11146,24,0,2,Travel_Frequently,No,2,2,1,3,2,3,No
115,52,Female,Single,5,Other,Sales,Manager,5,2,2,2,2,39,5,4,14474,24,1,7,Travel_Rarely,No,2,2,1,1,1,4,Yes
116,54,Male,Single,4,Other,Research & Development,Research Director,1,11,11,8,8,11,6,5,6828,20,2,19,Travel_Rarely,No,3,2,2,1,3,3,Yes
117,31,Female,Married,2,Marketing,Research & Development,Laboratory Technician,5,5,5,5,5,5,6,3,13986,18,2,7,Travel_Frequently,No,1,2,1,3,2,3,Yes
118,20,Male,Divorced,4,Marketing,Human Resources,Sales Executive,3,9,9,7,6,9,0,5,7444,20,3,10,Travel_Rarely,No,1,3,3,4,4,3,No
119,18,Male,Married,1,Technical Degree,Research & Development,Manager,5,1,1,1,1,1,9,5,13117,19,3,12,Non-Travel,No,1,3,3,2,2,3,No
120,22,Male,Single,2,Other,Sales,Sales Executive,1,21,9,9,9,24,4,2,4351,24,2,23,Travel_Frequently,Yes,4,2,1,2,2,4,Yes
121,43,Male,Single,4,Marketing,Sales,Human Resources,4,6,6,0,6,6,7,2,11880,18,0,27,Travel_Frequently,No,2,4,3,4,4,3,No
122,31,Female,Single,1,Life Sciences,Research & Development,Research Scientist,5,3,3,3,3,39,7,1,11918,21,0,18,Travel_Rarely,No,4,2,3,3,4,3,No
123,56,Male,Single,3,Human Resources,Research & Development,Research Scientist,3,22,1,0,11,22,2,6,9663,20,0,23,Travel_Rarely,No,4,2,4,4,3,3,No
124,44,Male,Single,3,Life Sciences,Research & Development,Sales Representative,4,10,10,6,8,10,2,3,10252,12,0,6,Travel_Rarely,No,4,4,4,2,3,3,No
125,26,Female,Single,5,Human Resources,Research & Development,Research Scientist,3,35,11,13,9,35,6,4,8851,14,3,26,Travel_Rarely,No,4,1,1,2,4,3,Yes
126,32,Male,Married,2,Other,Research & Development,Research Director,4,1,1,1,1,22,3,0,10673,14,1,20,Travel_Rarely,No,1,4,2,2,3,3,Yes
127,32,Male,Divorced,3,Technical Degree,Research & Development,Manager,3,6,5,6,6,6,5,2,7318,22,2,27,Travel_Rarely,No,2,4,2,2,3,3,Yes
128,43,Female,Married,2,Marketing,Sales,Sales Representative,5,1,1,1,1,26,8,5,14969,12,0,21,Travel_Frequently,No,2,3,4,3,3,3,No
129,59,Male,Married,3,Marketing,Research & Development,Sales Representative,5,10,1,2,2,12,9,1,11035,23,3,28,Non-Travel,No,4,1,4,2,4,3,Yes
130,30,Female,Married,5,Marketing,Research & Development,Manager,1,16,4,12,10,16,1,0,4653,18,1,8,Travel_Rarely,Yes,2,4,2,2,1,3,Yes
131,49,Female,Single,4,Other,Sales,Human Resources,4,9,9,9,5,31,1,2,9254,13,2,5,Non-Travel,Yes,3,2,1,3,1,3,Yes
132,56,Female,Single,5,Human Resources,Research & Development,Human Resources,1,2,2,2,2,25,5,1,4336,12,2,3,Travel_Rarely,Yes,1,4,2,4,3,3,Yes
133,49,Female,Divorced,1,Marketing,Research & Development,Sales Representative,2,4,2,0,4,21,2,5,5961,17,2,2,Travel_Rarely,No,2,3,2,3,1,3,No
134,21,Male,Single,3,Life Sciences,Human Resources,Human Resources,5,2,2,2,2,12,0,3,11334,11,0,22,Travel_Rarely,Yes,1,4,3,2,3,3,Yes
135,47,Female,Married,1,Marketing,Sales,Laboratory Technician,4,11,10,4,11,11,1,6,12091,16,2,6,Non-Travel,No,3,2,2,1,1,4,Yes
136,54,Male,Married,1,Other,Research & Development,Laboratory Technician,1,6,2,6,4,6,6,6,3297,23,0,7,Travel_Rarely,No,1,1,4,3,1,3,Yes
137,40,Male,Married,2,Technical Degree,Sales,Sales Executive,1,0,0,0,0,0,3,1,4044,23,1,8,Travel_Rarely,No,3,3,1,3,2,3,No
138,56,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,2,32,7,13,1,32,1,2,5477,13,3,4,Non-Travel,Yes,4,1,2,4,3,3,Yes
139,32,Male,Married,1,Marketing,Sales,Manufacturing Director,1,13,9,12,11,13,7,6,4791,23,3,12,Non-Travel,No,2,3,3,2,1,3,Yes
140,46,Male,Single,4,Marketing,Sales,Research Scientist,3,16,1,8,13,16,3,6,10831,13,3,24,Travel_Rarely,No,4,2,4,1,1,3,Yes
141,53,Male,Single,1,Medical,Research & Development,Human Resources,5,3,3,3,3,3,3,3,13519,15,2,12,Travel_Rarely,No,2,3,4,3,2,3,No
142,30,Male,Married,4,Human Resources,Human Resources,Laboratory Technician,1,16,16,5,16,38,1,5,3961,24,3,17,Travel_Rarely,No,4,1,3,3,1,3,No
143,49,Male,Married,2,Life Sciences,Sales,Research Director,1,0,0,0,0,0,0,4,6749,13,1,22,Travel_Rarely,No,3,1,4,3,2,3,No
144,24,Male,Single,1,Medical,Sales,Manager,2,9,8,4,4,23,0,6,5469,22,0,22,Travel_Frequently,No,2,4,3,1,1,3,No
145,39,Male,Divorced,5,Technical Degree,Research & Development,Healthcare Representative,3,1,1,1,1,33,2,1,10420,14,3,19,Non-Travel,No,4,1,4,3,2,3,No
146,45,Female,Married,2,Human Resources,Research & Development,Sales Executive,1,22,5,6,9,33,5,0,5814,23,0,9,Travel_Rarely,Yes,1,4,4,3,2,3,Yes
147,19,Female,Married,4,Life Sciences,Human Resources,Manufacturing Director,5,5,3,2,5,23,6,5,11589,23,0,12,Non-Travel,No,1,1,4,1,4,3,Yes
148,59,Female,Married,2,Marketing,Sales,Laboratory Technician,5,1,1,1,1,14,8,3,12988,13,3,28,Non-Travel,No,4,4,4,3,3,3,No
149,23,Male,Married,1,Life Sciences,Research & Development,Sales Executive,1,16,12,4,14,16,4,5,5839,17,3,21,Travel_Rarely,No,3,2,3,1,4,3,No
150,45,Female,Married,3,Marketing,Sales,Healthcare Representative,3,12,8,2,11,12,8,3,10865,13,3,17,Travel_Rarely,No,4,4,2,4,3,3,No
151,45,Female,Divorced,3,Human Resources,Sales,Manager,5,6,5,4,5,6,7,5,13433,24,2,23,Travel_Rarely,No,1,1,4,1,1,3,Yes
152,37,Female,Single,4,Marketing,Research & Development,Research Scientist,5,6,6,6,6,8,0,4,13989,20,3,10,Travel_Rarely,Yes,2,2,3,4,3,3,Yes
153,47,Male,Married,4,Technical Degree,Research & Development,Laboratory Technician,3,28,14,10,14,34,2,1,10948,14,2,19,Travel_Rarely,No,2,3,3,1,4,3,No
154,28,Male,Single,3,Other,Research & Development,Manager,3,22,2,9,11,22,7,0,8569,12,1,26,Travel_Rarely,No,4,1,3,2,3,3,Yes
155,45,Male,Married,4,Marketing,Research & Development,Manufacturing Director,1,22,4,0,8,38,8,6,3445,12,0,26,Travel_Rarely,No,2,4,2,3,4,3,No
156,42,Male,Married,2,Technical Degree,Research & Development,Human Resources,4,22,17,3,1,22,3,4,11006,19,1,11,Travel_Rarely,No,1,3,1,4,3,3,No
157,56,Female,Divorced,5,Other,Research & Development,Healthcare Representative,2,7,7,7,7,25,5,1,6960,21,3,20,Travel_Rarely,Yes,2,4,3,3,1,3,Yes
158,50,Female,Divorced,5,Human Resources,Human Resources,Manufacturing Director,4,0,0,0,0,0,3,0,9098,11,0,22,Travel_Rarely,No,4,3,3,3,1,3,No
159,18,Female,Single,2,Human Resources,Sales,Research Scientist,4,9,9,4,7,13,8,5,9654,11,3,24,Travel_Rarely,Yes,4,2,3,1,3,4,Yes
160,44,Female,Single,5,Life Sciences,Sales,Manager,5,14,8,1,12,31,1,6,12078,20,3,13,Travel_Rarely,No,4,1,2,2,3,3,Yes
161,30,Male,Married,1,Technical Degree,Research & Development,Research Scientist,3,9,9,9,3,9,5,0,10074,11,0,4,Travel_Rarely,No,1,2,4,1,1,4,Yes
162,58,Male,Married,2,Technical Degree,Research & Development,Sales Representative,5,0,0,0,0,0,2,2,12355,24,1,15,Travel_Rarely,No,3,1,2,3,3,3,No
163,20,Male,Single,4,Medical,Sales,Laboratory Technician,2,4,4,0,4,4,9,0,5933,13,3,12,Travel_Rarely,No,2,3,3,1,2,3,No
164,56,Female,Married,2,Medical,Human Resources,Human Resources,1,2,2,2,2,2,3,1,4458,12,0,25,Travel_Frequently,No,4,2,1,4,1,3,Yes
165,23,Male,Married,3,Other,Sales,Healthcare Representative,2,1,1,1,1,26,1,4,8984,13,1,24,Non-Travel,No,3,1,3,2,1,3,Yes
166,25,Male,Divorced,4,Other,Research & Development,Research Director,5,5,5,1,5,21,7,6,14557,24,2,26,Travel_Rarely,Yes,4,3,4,3,4,3,No
167,44,Female,Single,3,Medical,Sales,Manager,5,17,1,2,6,17,9,4,14290,15,1,10,Travel_Rarely,No,4,2,1,1,4,4,No
